topSaltConvolved,bottomSaltConvolved,topTempConvolved,bottomTempConvolved
34.092791799850744,34.6980731386958,1.1943692382988176,2.1590647433230985
34.09561677779956,34.69798305749329,1.1782049493919504,2.1496868320331277
34.095369339075724,34.69818053671348,1.158218446193536,2.1398576703986163
34.10048275695779,34.69938648771393,1.133178289178968,2.1264631364349595
34.10100018696625,34.699704870198666,1.1144242525799584,2.116907160611605
34.11605007179941,34.7002315038541,1.1494977573657155,2.115513096540889
34.12101321517197,34.700775818879585,1.1760978656642196,2.1150106046418347
34.1263599474791,34.70148850305798,1.1915975744916107,2.1202484084666966
34.11669063939731,34.70260743464687,1.1535803426508064,2.1270783296747915
34.10486018176237,34.702863475774194,1.1308886851183406,2.1310788851372306
34.10298798988289,34.7018757946343,1.1181697507898063,2.141193617352262
34.10653361061811,34.699667329922455,1.1202315560346916,2.159758519026691
34.09839828469448,34.69714333415726,1.1362206920902946,2.182700478407056
34.10386293597193,34.69545558478313,1.1854315946054501,2.2026084779791697
34.09758932949795,34.69394818286589,1.1970013812555949,2.220056998451634
34.07304633022043,34.69309724303785,1.1424950728646674,2.229609829033738
34.04682422667469,34.69125269921138,1.1551019556457596,2.239546020409979
34.0317351654342,34.69042411495635,1.1549697148714708,2.2473331515401718
34.024795082167465,34.68917610252225,1.1846228896937319,2.2558052306915735
34.02216460230263,34.68791223872918,1.2071812015891765,2.266360950365147
34.01521665237642,34.68788328710765,1.232455939196047,2.2719586890360706
34.0015989605241,34.6897654974611,1.2566614508394685,2.263317059840948
34.003895439168886,34.6906449537887,1.2617744860765359,2.2538740262711685
33.98790574492351,34.68895591646679,1.235789048944108,2.249833542218498
33.99752046803533,34.689022584225675,1.2585935574333824,2.2408002018959134
34.020401757373705,34.68934339237117,1.3094744649887586,2.238145855107173
34.03100380016593,34.69036270206919,1.274529241655782,2.2356817201234813
34.03059550747057,34.690856997977235,1.2660244036561674,2.2326638647708696
34.04146603837387,34.69124034470646,1.279979888364513,2.231824816413147
34.04552530471214,34.691637298602565,1.2795971211485018,2.23302593498517
34.04671147926652,34.69127125768476,1.2851837153512526,2.2355433645124356
34.05971965784929,34.69051436021613,1.266683897045564,2.244270036079851
34.06427341364708,34.690639034564626,1.245939464772054,2.2505917175880543
34.07487693491632,34.69110807066103,1.2191236537514678,2.25366692933443
34.064418189632015,34.690410041001115,1.182241350026001,2.2602265828700885
34.04640977395989,34.68848506301283,1.1185562374345572,2.262891295579818
34.04936591075277,34.68660728890824,1.112490216907771,2.265420350000351
34.05266137234847,34.68395953331877,1.1028361890097607,2.2715536077635434
34.04434837849216,34.681989977410666,1.0802036514717817,2.2739454170584694
34.0368843862973,34.68080671208821,1.0685703164818996,2.2776132619693317
34.0380969842816,34.68019529277705,1.066860995009122,2.2794292216398406
34.02948359573816,34.678670769264755,1.0769313931372042,2.281514703563397
34.020184254419206,34.67659261098563,1.0997968389558592,2.284475621959111
34.011959287006576,34.6754617261135,1.122976543883811,2.292120577881449
34.00228597468972,34.67436241239855,1.1488490522257444,2.2984607293579424
33.993027558221435,34.67302111723236,1.1742136403411938,2.3042057664914375
33.98471655578969,34.672213784805734,1.195632003548516,2.3071081922229224
33.979589500282756,34.67127114444544,1.2106884396155047,2.3053035739524215
33.97043260923758,34.670805350906846,1.2297087036779006,2.3018684081063383
33.963885584582464,34.669476945441765,1.2424017788871398,2.29674416516706
33.95695311430121,34.668352003696846,1.248663566720824,2.292628163629648
33.95266810574569,34.66940164724363,1.2556468748855287,2.2861245057097364
33.953174823103126,34.67046997802176,1.2587041228449949,2.2823582183742013
33.94941701307287,34.67166887399712,1.2720925487119663,2.2772615178236837
33.95118996411076,34.673619964669314,1.2646003275177142,2.2726263675065472
33.95408328964545,34.67556824487045,1.2550750809481657,2.263236375376525
33.95854257182705,34.67724031867327,1.2441787362198582,2.255823847392191
33.96476215156713,34.68002765457059,1.227574018349515,2.255018293420836
33.97087945600352,34.68222577606924,1.2194949505874448,2.2560829351062903
33.97762514541485,34.68533593470516,1.2132874676035883,2.254364993827151
33.98475963393214,34.68813069155981,1.1965963887265147,2.253259647339033
33.991893631428475,34.68911486439856,1.17952671820242,2.2521418985669523
33.99679567704748,34.69142768462077,1.1710489185493858,2.2468862723219334
34.007936398583425,34.6925337818504,1.1479253182316356,2.2414419519204216
34.016867019130785,34.692813656999924,1.1373450868007426,2.2357626852888943
34.02704320816671,34.6933781136651,1.128860900686326,2.236958454063841
34.03326191033215,34.69389329667594,1.1311154395725618,2.2407169044283832
34.03696720766003,34.693629088713486,1.139667820680844,2.2413983323518614
34.040166093593506,34.693588959553225,1.1295752061505273,2.241148568040022
34.042849987762494,34.6913962525831,1.1132691221166877,2.2404710229452367
34.03994060466313,34.689849644677174,1.1165061170999337,2.240135744887376
34.038572289945776,34.687400456628005,1.1167630794403027,2.248960302667025
34.03502828401143,34.6842966339601,1.120645360688814,2.260430188415697
34.02296697218536,34.68225609308411,1.1450773809285588,2.269836158397605
34.010104778066115,34.67948261995682,1.1689043691123249,2.2833076850333334
33.995612195808114,34.67526695920479,1.196009951390729,2.2974509980598965
33.98172911969457,34.67105814226754,1.2309562248383052,2.3088946987831207
33.97001911583082,34.66770835510232,1.2680411217509995,2.31904735271028
33.958326760921295,34.66385496984164,1.3250097464057624,2.3315784086704117
33.94915983768951,34.66144244622659,1.3719269790168458,2.3485307433336002
33.94712265892591,34.65878614955694,1.403089407879394,2.3646220227715293
33.94636479952217,34.65716091026626,1.4962614038577846,2.372830845502717
